                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87169,                 1.8409,                 1.1698,                0.70787,                0.77778,                0.81556,                0.60865,                0.92105,                 2.0136,                 1.2204,             0.00065657,             0.00065657,             0.00065657
                      2,                 0.8992,                 1.2578,                 1.1571,                0.80152,                0.74074,                0.75547,                0.50517,                 1.0143,                  1.968,                 1.2466,               0.001297,               0.001297,               0.001297
                      3,                0.94527,                 1.1059,                 1.1792,                0.74619,                0.58333,                0.68628,                0.51507,                0.97793,                 2.1014,                 1.2987,              0.0019111,              0.0019111,              0.0019111
                      4,                0.92554,                0.97729,                 1.1649,                0.59373,                0.68519,                0.65296,                0.44062,                 1.1412,                 1.8452,                 1.4198,              0.0018812,              0.0018812,              0.0018812
                      5,                0.89696,                0.89816,                 1.1293,                0.93331,                0.90707,                 0.9678,                0.72324,                0.89746,                0.92228,                 1.1737,              0.0018416,              0.0018416,              0.0018416
                      6,                 0.9117,                 0.8381,                 1.1496,                0.85171,                0.85088,                0.93421,                0.73177,                0.84826,                0.99088,                 1.1328,               0.001802,               0.001802,               0.001802
                      7,                0.84763,                0.76596,                 1.1166,                0.92409,                0.93519,                0.97223,                0.78221,                0.73943,                0.55626,                 1.0849,              0.0017624,              0.0017624,              0.0017624
                      8,                 0.8237,                0.72756,                 1.1104,                0.95813,                0.93519,                0.96859,                0.80023,                0.75486,                0.58317,                 1.0454,              0.0017228,              0.0017228,              0.0017228
                      9,                0.79503,                0.65803,                  1.091,                0.97978,                0.89756,                 0.9636,                0.79462,                0.66699,                0.58665,                 1.0024,              0.0016832,              0.0016832,              0.0016832
                     10,                0.75829,                0.63169,                 1.0724,                0.86948,                0.80192,                0.89643,                0.69906,                0.85679,                0.80529,                 1.1129,              0.0016436,              0.0016436,              0.0016436
                     11,                0.75008,                0.61642,                 1.0718,                 0.9346,                0.92621,                0.97401,                0.78668,                0.76791,                0.52851,                 1.0589,               0.001604,               0.001604,               0.001604
                     12,                0.76146,                0.61393,                 1.0672,                0.96091,                0.97222,                0.98505,                0.80793,                0.69841,                0.45195,                 1.0216,              0.0015644,              0.0015644,              0.0015644
                     13,                0.74441,                0.58075,                 1.0497,                0.93518,                0.97222,                0.97158,                0.79236,                0.69748,                0.46992,                 1.0085,              0.0015248,              0.0015248,              0.0015248
                     14,                0.72558,                0.56897,                 1.0489,                0.95292,                0.93716,                0.97571,                0.80463,                0.70551,                 0.5174,                 1.0364,              0.0014852,              0.0014852,              0.0014852
                     15,                0.71244,                0.54614,                 1.0526,                0.95218,                0.92191,                0.96971,                0.79519,                0.71534,                0.51301,                 1.0528,              0.0014456,              0.0014456,              0.0014456
                     16,                0.68508,                0.52872,                 1.0323,                0.98053,                0.93262,                0.96386,                0.79287,                0.74386,                0.53855,                 1.0798,               0.001406,               0.001406,               0.001406
                     17,                0.69059,                0.52906,                 1.0348,                0.97067,                 0.9537,                0.97408,                0.83584,                0.64386,                0.40921,                0.98934,              0.0013664,              0.0013664,              0.0013664
                     18,                0.64127,                0.61638,                0.99212,                 0.9715,                0.98148,                  0.987,                0.82651,                0.66821,                0.39344,                0.99817,              0.0013268,              0.0013268,              0.0013268
